player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Michael Phillips,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Oluwatosin Adarabioyo,Man City,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Pike,West Ham,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marcus Browne,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Domingos Quina,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Noor Husin,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Aaron Wan-Bissaka,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Maja,Sunderland,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Rekeem Harper,West Brom,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ethan Robson,Sunderland,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jonjoe Kenny,Everton,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Elliot Embleton,Sunderland,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Declan Rice,West Ham,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Charlie Rowan,Watford,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Folivi,Watford,Forward,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0
Brandon Mason,Watford,Defender,0,0,0,0,0,0,0,0,0,0,23,0.0,0.0
Carl Stewart,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harry Lewis,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Ledger,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Taylor,Stoke,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joleon Lescott,Sunderland,Defender,0,0,0,0,0,0,0,0,0,0,34,0.0,0.0
Giedrius Arlauskis,Watford,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Molla Wagué,Leicester,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Thomas Edwards,Stoke,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Baily Cargill,Bournemouth,Defender,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0
Mouez Hassen,Southampton,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Daniel Agyei,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0
Martín Cáceres,Southampton,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harry Wilson,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Connor Roberts,Swansea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matthew Willock,Man Utd,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Axel Tuanzebe,Man Utd,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joe Williams,Everton,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dion Pereira,Watford,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matt Macey,Arsenal,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Dinis Castro Pereira,Man Utd,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eduardo Dos Reis Carvalho,Chelsea,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adrián San Miguel del Castillo,West Ham,Goalkeeper,0,0,0,37,3,1,0,0,0,20,990,-0.5,-0.05
Loris Karius,Liverpool,Goalkeeper,0,0,0,20,3,0,0,0,0,12,900,-0.5,-0.05
Adam Lallana,Liverpool,Midfielder,7,7,0,0,6,3,0,0,0,32,2064,-2.5,-0.11
Tom Davies,Everton,Midfielder,2,3,0,0,7,4,0,0,0,12,1204,-1.5,-0.11
Connor Wickham,Crystal Palace,Forward,2,0,0,0,0,1,0,0,0,6,412,-0.5,-0.11
Darren Randolph,West Ham,Goalkeeper,0,0,1,64,4,1,0,0,0,39,1980,-2.5,-0.11
Kevin De Bruyne,Man City,Midfielder,4,16,0,0,8,4,0,1,0,30,2346,-3.0,-0.12
Gnegneri Yaya Touré,Man City,Midfielder,4,0,0,0,8,4,0,0,0,16,1529,-2.0,-0.12
Danny Rose,Spurs,Defender,2,3,0,0,8,8,0,0,0,11,1530,-2.0,-0.12
Paul Pogba,Man Utd,Midfielder,4,3,0,0,12,7,0,0,0,21,2475,-3.5,-0.13
Alex Iwobi,Arsenal,Midfielder,3,5,0,0,9,1,0,0,0,20,1411,-2.0,-0.13
Wayne Rooney,Man Utd,Forward,2,5,0,0,3,6,0,0,0,11,1014,-1.5,-0.13
James Ward-Prowse,Southampton,Midfielder,4,4,0,0,7,2,0,0,0,21,1482,-2.5,-0.15
Cristhian Stuani,Middlesbrough,Forward,4,0,0,0,3,3,0,0,0,14,1193,-2.0,-0.15
Vincent Kompany,Man City,Defender,1,0,0,0,1,2,0,0,0,3,294,-0.5,-0.15
Kieran Gibbs,Arsenal,Defender,0,1,0,0,2,3,0,0,0,1,297,-0.5,-0.15
Nacer Chadli,West Brom,Midfielder,5,6,0,0,6,1,0,0,0,27,1923,-3.5,-0.16
Dusan Tadic,Southampton,Midfielder,3,7,0,0,10,3,0,0,0,23,1908,-3.5,-0.17
Jesse Lingard,Man Utd,Midfielder,1,2,0,0,6,2,0,0,0,9,1055,-2.0,-0.17
Álvaro Negredo,Middlesbrough,Forward,8,4,0,0,9,5,0,0,0,35,2447,-5.0,-0.18
Callum Wilson,Bournemouth,Forward,6,1,0,0,6,0,0,0,0,25,1361,-3.0,-0.2
Ross Barkley,Everton,Midfielder,4,11,0,0,10,5,0,0,0,31,2531,-5.5,-0.2
Luke Shaw,Man Utd,Defender,0,3,0,0,4,1,0,0,0,6,680,-1.5,-0.2
Sam Vokes,Burnley,Forward,6,4,0,0,4,0,0,0,0,28,1704,-4.0,-0.21
Matt Phillips,West Brom,Midfielder,4,9,0,0,6,2,0,0,0,28,2181,-5.0,-0.21
Abel Hernández,Hull,Forward,4,4,0,0,4,0,0,0,0,21,1290,-3.0,-0.21
Claudio Bravo,Man City,Goalkeeper,0,0,1,32,5,0,0,0,0,26,1890,-4.5,-0.21
James Milner,Liverpool,Midfielder,7,4,0,0,8,5,0,0,0,33,2718,-6.5,-0.22
Ander Herrera,Man Utd,Midfielder,1,5,0,0,11,5,1,0,0,15,2087,-5.0,-0.22
Fraser Forster,Southampton,Goalkeeper,0,0,0,58,11,3,0,0,0,40,2790,-7.0,-0.23
Jonathan Walters,Stoke,Midfielder,4,3,0,0,6,1,0,0,0,21,1269,-3.5,-0.25
Adam Federici,Bournemouth,Goalkeeper,0,0,0,5,1,1,0,0,0,3,180,-0.5,-0.25
André Ayew,West Ham,Midfielder,5,1,0,0,3,1,0,0,0,20,1032,-3.0,-0.26
Robbie Brady,Burnley,Midfielder,1,2,0,0,1,0,0,0,0,7,519,-1.5,-0.26
Andy Carroll,West Ham,Forward,7,2,0,0,3,3,0,0,0,27,1312,-4.0,-0.27
Michail Antonio,West Ham,Midfielder,9,8,0,0,7,4,1,0,0,43,2433,-7.5,-0.28
Marc Muniesa,Stoke,Defender,1,0,0,0,2,1,0,0,0,5,469,-1.5,-0.29
Jermain Defoe,Sunderland,Forward,14,3,0,0,5,1,0,0,0,57,2872,-10.0,-0.31
Luka Milivojevic,Crystal Palace,Midfielder,1,0,0,0,4,1,0,0,0,7,708,-2.5,-0.32
Salomón Rondón,West Brom,Forward,7,3,0,0,6,2,0,0,0,35,2462,-9.0,-0.33
Seamus Coleman,Everton,Defender,4,4,0,0,10,3,0,0,0,28,2316,-8.5,-0.33
Matteo Darmian,Man Utd,Defender,0,0,0,0,6,3,0,0,0,5,943,-3.5,-0.33
Toby Alderweireld,Spurs,Defender,0,0,0,0,12,1,0,0,0,13,2061,-7.5,-0.33
Lukasz Fabianski,Swansea,Goalkeeper,0,0,1,103,5,1,0,0,0,68,2970,-11.5,-0.35
Ashley Barnes,Burnley,Forward,5,2,0,0,5,5,1,0,0,22,1486,-6.0,-0.36
Eric Dier,Spurs,Midfielder,2,0,0,0,14,6,0,0,0,20,2521,-10.0,-0.36
Kyle Walker,Spurs,Defender,0,6,0,0,13,6,0,0,0,20,2521,-10.5,-0.37
Joshua King,Bournemouth,Midfielder,13,2,0,0,7,1,0,1,0,51,2361,-10.0,-0.38
Jamie Vardy,Leicester,Forward,11,6,0,0,5,2,1,0,0,49,2274,-9.5,-0.38
Leonardo Ulloa,Leicester,Forward,1,0,0,0,1,0,0,0,0,5,354,-1.5,-0.38
Benik Afobe,Bournemouth,Forward,5,5,0,0,4,1,0,1,0,24,1283,-5.5,-0.39
Antonio Valencia,Man Utd,Defender,1,3,0,0,11,5,0,0,0,19,2311,-10.0,-0.39
Mousa Dembélé,Spurs,Midfielder,1,2,0,0,11,5,0,0,0,16,1853,-8.0,-0.39
Daley Blind,Man Utd,Defender,1,2,0,0,7,2,0,0,0,14,1470,-6.5,-0.4
Georginio Wijnaldum,Liverpool,Midfielder,5,6,0,0,7,2,0,0,0,35,2528,-11.5,-0.41
Ben Davies,Spurs,Defender,0,1,0,0,6,1,0,0,0,9,1199,-5.5,-0.41
Gary Cahill,Chelsea,Defender,4,0,0,0,13,4,0,0,1,27,2873,-13.5,-0.42
Nemanja Matic,Chelsea,Midfielder,0,7,0,0,12,4,0,0,0,22,2334,-11.0,-0.42
Steven Defour,Burnley,Midfielder,1,3,0,0,5,1,0,0,0,13,1055,-5.0,-0.43
Harry Winks,Spurs,Midfielder,1,1,0,0,0,1,0,0,0,6,494,-2.5,-0.46
Marcos Rojo,Man Utd,Defender,1,0,0,0,8,5,0,0,0,13,1663,-8.5,-0.46
Victor Wanyama,Spurs,Midfielder,2,0,0,0,11,8,0,0,0,21,2535,-13.5,-0.48
Jan Vertonghen,Spurs,Defender,0,0,0,0,13,5,0,0,0,17,2378,-13.0,-0.49
Junior Stanislas,Bournemouth,Midfielder,4,6,0,0,4,1,0,0,0,26,1167,-6.5,-0.5
Nathan Redmond,Southampton,Midfielder,6,1,0,0,10,2,1,0,0,36,2464,-14.0,-0.51
David Silva,Man City,Midfielder,2,9,0,0,9,5,0,0,0,31,2452,-14.0,-0.51
Sam Field,West Brom,Midfielder,0,0,0,0,1,1,0,0,0,1,172,-1.0,-0.52
Alex Oxlade-Chamberlain,Arsenal,Midfielder,2,5,0,0,3,1,0,0,0,20,1356,-8.0,-0.53
Aaron Lennon,Everton,Midfielder,0,1,0,0,2,0,0,0,0,5,509,-3.0,-0.53
Ashley Young,Man Utd,Midfielder,0,1,0,0,3,2,0,0,0,5,579,-3.5,-0.54
Troy Deeney,Watford,Forward,10,4,0,0,6,6,0,0,1,47,2617,-16.0,-0.55
Marko Arnautovic,Stoke,Midfielder,6,4,0,0,8,9,1,0,0,35,2371,-14.5,-0.55
Steve Mandanda,Crystal Palace,Goalkeeper,0,0,0,24,0,0,0,0,0,17,810,-5.0,-0.56
David Luiz Moreira Marinho,Chelsea,Defender,1,1,0,0,12,6,0,0,0,23,2520,-16.0,-0.57
Mamadou Sakho,Crystal Palace,Defender,0,0,0,0,4,0,0,0,0,6,630,-4.0,-0.57
Christian Benteke,Crystal Palace,Forward,12,2,0,0,6,8,0,2,0,48,2624,-17.0,-0.58
Wilfried Zaha,Crystal Palace,Midfielder,6,11,0,0,6,6,0,0,0,45,2504,-16.0,-0.58
Michael Carrick,Man Utd,Midfielder,0,0,0,0,4,1,0,0,0,9,1167,-7.5,-0.58
Emre Can,Liverpool,Midfielder,4,2,0,0,5,6,0,0,0,26,1921,-12.5,-0.59
Gastón Ramírez,Middlesbrough,Midfielder,2,3,0,0,6,8,0,0,0,18,1520,-10.0,-0.59
Diafra Sakho,West Ham,Forward,1,0,0,0,0,0,0,0,0,4,152,-1.0,-0.59
César Azpilicueta,Chelsea,Defender,0,3,0,0,13,3,0,0,0,27,2880,-19.0,-0.59
Fernando Llorente,Swansea,Forward,11,2,0,0,3,2,0,0,0,49,2030,-13.5,-0.6
M'Baye Niang,Watford,Forward,2,2,0,0,3,2,0,0,0,14,831,-5.5,-0.6
Yannick Bolasie,Everton,Midfielder,1,4,0,0,3,3,0,0,0,14,1048,-7.0,-0.6
Fabian Delph,Man City,Midfielder,1,0,0,0,0,1,0,0,0,4,224,-1.5,-0.6
Eric Bailly,Man Utd,Defender,0,0,0,0,8,3,0,0,0,13,1548,-10.5,-0.61
Chris Smalling,Man Utd,Defender,1,1,0,0,3,0,0,0,0,12,947,-6.5,-0.62
Andros Townsend,Crystal Palace,Midfielder,3,7,0,0,6,4,0,0,0,32,2120,-15.0,-0.64
Leighton Baines,Everton,Defender,2,4,0,0,9,3,0,1,0,27,2369,-17.0,-0.65
Grant Leadbitter,Middlesbrough,Midfielder,1,0,0,0,3,1,0,0,0,8,554,-4.0,-0.65
Wilfried Bony,Stoke,Forward,2,0,0,0,3,1,0,0,0,12,684,-5.0,-0.66
Phil Jones,Man Utd,Defender,0,0,0,0,3,1,0,0,0,10,1224,-9.0,-0.66
Hal Robson-Kanu,West Brom,Forward,2,2,0,0,1,3,0,0,0,12,674,-5.0,-0.67
Paul Robinson,Burnley,Goalkeeper,0,0,0,10,0,0,0,0,0,7,270,-2.0,-0.67
N'Golo Kanté,Chelsea,Midfielder,1,1,0,0,12,8,0,0,0,27,2778,-21.0,-0.68
Cuco Martina,Southampton,Defender,0,0,0,0,3,0,0,0,0,6,592,-4.5,-0.68
Stefano Okaka,Watford,Forward,3,0,0,0,2,4,0,0,0,13,645,-5.0,-0.7
Phil Jagielka,Everton,Defender,3,2,0,0,4,3,1,0,0,25,1801,-14.5,-0.72
Chris Brunt,West Brom,Defender,3,3,0,0,4,5,0,0,0,28,2027,-16.5,-0.73
Ryan Bertrand,Southampton,Defender,1,5,0,0,10,2,0,0,0,28,1967,-16.0,-0.73
Victor Anichebe,Sunderland,Forward,3,1,0,0,2,1,0,0,0,18,913,-7.5,-0.74
Roberto Pereyra,Watford,Midfielder,2,3,0,0,3,2,1,0,0,17,1036,-8.5,-0.74
Isaac Success,Watford,Midfielder,1,1,0,0,1,1,0,0,0,8,477,-4.0,-0.75
Bacary Sagna,Man City,Defender,0,1,0,0,6,2,0,0,0,14,1318,-11.0,-0.75
Oumar Niasse,Hull,Forward,4,0,0,0,1,3,0,0,0,17,712,-6.0,-0.76
Marouane Fellaini,Man Utd,Midfielder,1,0,0,0,7,8,0,0,0,14,1357,-11.5,-0.76
Jordan Ayew,Swansea,Forward,0,1,0,0,2,1,0,0,0,5,417,-3.5,-0.76
Dimitri Payet,West Ham,Midfielder,2,8,0,0,4,2,0,0,0,28,1513,-13.0,-0.77
Viktor Fischer,Middlesbrough,Midfielder,0,2,0,0,1,0,0,0,0,6,407,-3.5,-0.77
Joe Allen,Stoke,Midfielder,6,3,0,0,8,8,0,0,0,43,2532,-22.0,-0.78
Etienne Capoue,Watford,Midfielder,6,2,0,0,7,4,0,0,0,45,2716,-23.5,-0.78
Gareth McAuley,West Brom,Defender,6,1,0,0,6,4,0,0,1,42,2897,-25.0,-0.78
Riyad Mahrez,Leicester,Midfielder,5,4,0,0,7,3,0,1,0,38,2309,-20.0,-0.78
Demarai Gray,Leicester,Midfielder,1,4,0,0,4,1,0,0,0,17,981,-8.5,-0.78
Morgan Schneiderlin,Everton,Midfielder,1,0,0,0,3,1,0,0,0,11,803,-7.0,-0.78
Jeffrey Schlupp,Crystal Palace,Defender,0,1,0,0,2,0,0,0,0,8,689,-6.0,-0.78
Ron-Robert Zieler,Leicester,Goalkeeper,0,0,0,18,1,0,0,0,0,16,754,-6.5,-0.78
Jerome Sinclair,Watford,Forward,0,0,0,0,0,0,0,0,0,1,116,-1.0,-0.78
Ryan Fraser,Bournemouth,Midfielder,3,6,0,0,5,3,0,0,0,29,1473,-13.0,-0.79
Darren Fletcher,West Brom,Midfielder,2,2,0,0,8,0,0,0,0,37,2849,-25.0,-0.79
Idrissa Gueye,Everton,Midfielder,1,2,0,0,8,9,0,0,0,25,2321,-20.5,-0.79
Fernando Luiz Rosa,Man City,Midfielder,1,1,0,0,7,4,2,0,0,23,2215,-19.5,-0.79
Max Gradel,Bournemouth,Midfielder,0,0,0,0,0,2,0,0,0,0,114,-1.0,-0.79
Nathan Aké,Chelsea,Defender,3,0,0,0,3,0,0,0,0,17,735,-6.5,-0.8
Joey Barton,Burnley,Midfielder,1,2,0,0,4,4,0,0,0,14,1015,-9.0,-0.8
David Marshall,Hull,Goalkeeper,0,0,0,56,0,0,0,0,1,37,1350,-12.0,-0.8
Shane Long,Southampton,Forward,3,1,0,0,2,2,0,0,0,20,1092,-10.0,-0.82
Adam Forshaw,Middlesbrough,Midfielder,0,2,0,0,8,3,0,0,0,25,2243,-20.5,-0.82
James McArthur,Crystal Palace,Midfielder,5,2,0,0,2,5,0,0,0,31,1687,-15.5,-0.83
Ashley Williams,Everton,Defender,1,3,0,0,11,5,1,0,0,33,2710,-25.0,-0.83
Mason Holgate,Everton,Defender,0,1,0,0,4,2,0,0,0,11,980,-9.0,-0.83
Joel Matip,Liverpool,Defender,1,0,0,0,5,3,0,0,0,23,2007,-19.0,-0.85
Gaël Clichy,Man City,Defender,1,0,0,0,6,2,0,0,0,22,1804,-17.0,-0.85
Dominic Calvert-Lewin,Everton,Forward,1,0,0,0,0,0,0,0,0,5,212,-2.0,-0.85
Ramiro Funes Mori,Everton,Defender,0,1,0,0,7,0,0,0,0,19,1543,-14.5,-0.85
Jordan Rhodes,Middlesbrough,Forward,0,0,0,0,0,0,0,0,0,2,211,-2.0,-0.85
Laurent Koscielny,Arsenal,Defender,2,1,0,0,8,3,0,0,0,33,2448,-23.5,-0.86
Stewart Downing,Middlesbrough,Midfielder,1,3,0,0,6,1,0,0,0,25,1705,-16.5,-0.87
Aleksandar Kolarov,Man City,Defender,1,1,0,0,8,6,0,0,1,24,2265,-22.0,-0.87
Michael Kightly,Burnley,Midfielder,0,0,0,0,0,0,0,0,0,1,104,-1.0,-0.87
Mauro Zárate,Watford,Forward,0,1,0,0,0,0,0,0,0,3,204,-2.0,-0.88
Dejan Lovren,Liverpool,Defender,2,1,0,0,7,5,0,0,0,29,2115,-21.0,-0.89
Shinji Okazaki,Leicester,Forward,2,0,0,0,5,1,0,0,0,21,1299,-13.0,-0.9
Borja Bastón,Swansea,Forward,1,2,0,0,1,0,0,0,0,11,551,-5.5,-0.9
Christian Kabasele,Watford,Defender,2,0,0,0,1,1,0,0,0,12,592,-6.0,-0.91
Jordan Henderson,Liverpool,Midfielder,1,4,0,0,7,8,0,0,0,28,2116,-21.5,-0.91
Ramadan Sobhi,Stoke,Midfielder,0,2,0,0,4,1,0,0,0,11,741,-7.5,-0.91
Mohamed Elneny,Arsenal,Midfielder,0,1,0,0,3,1,0,0,0,9,694,-7.0,-0.91
Brendan Galloway,West Brom,Defender,0,0,0,0,1,0,0,0,0,3,247,-2.5,-0.91
Virgil van Dijk,Southampton,Defender,1,0,0,0,7,3,1,0,0,23,1852,-19.0,-0.92
Marten de Roon,Middlesbrough,Midfielder,3,1,0,0,7,6,0,0,0,35,2376,-24.5,-0.93
Gareth Barry,Everton,Midfielder,2,1,0,0,7,9,0,0,0,26,1944,-20.0,-0.93
Gökhan Töre,West Ham,Midfielder,0,1,0,0,1,0,0,0,0,4,240,-2.5,-0.94
Saido Berahino,Stoke,Forward,0,0,0,0,3,1,0,0,0,9,767,-8.0,-0.94
Calum Chambers,Middlesbrough,Defender,1,1,0,0,6,4,0,0,0,23,1710,-18.0,-0.95
Adama Traoré,Middlesbrough,Midfielder,0,1,0,0,6,1,0,0,0,19,1469,-15.5,-0.95
Pierre-Emile Højbjerg,Southampton,Midfielder,0,0,0,0,6,2,0,0,0,15,1227,-13.0,-0.95
Manuel Lanzini,West Ham,Midfielder,7,3,0,0,6,7,0,0,0,48,2258,-24.5,-0.98
Ben Gibson,Middlesbrough,Defender,1,1,0,0,10,3,0,0,0,39,2880,-31.5,-0.98
John Terry,Chelsea,Defender,0,0,0,0,1,1,0,0,0,4,367,-4.0,-0.98
Oscar dos Santos Emboaba Junior,Chelsea,Midfielder,0,1,0,0,1,1,0,0,0,6,455,-5.0,-0.99
Gylfi Sigurdsson,Swansea,Midfielder,8,11,0,0,4,2,0,0,0,68,2877,-32.0,-1.0
Charlie Adam,Stoke,Midfielder,1,4,0,0,6,7,0,0,0,23,1480,-16.5,-1.0
Pape Souaré,Crystal Palace,Defender,0,0,0,0,0,0,0,0,0,3,270,-3.0,-1.0
Mile Jedinak,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,1,90,-1.0,-1.0
Shkodran Mustafi,Arsenal,Defender,2,2,0,0,6,9,0,0,0,29,2004,-22.5,-1.01
Jordy Clasie,Southampton,Midfielder,1,1,0,0,2,3,0,0,0,14,932,-10.5,-1.01
Daniel Ayala,Middlesbrough,Defender,1,0,0,0,3,2,0,0,0,12,757,-8.5,-1.01
Nicolás Otamendi,Man City,Defender,0,2,0,0,6,8,0,0,0,24,2052,-23.0,-1.01
Robert Snodgrass,West Ham,Midfielder,7,6,0,0,3,2,0,0,0,55,2433,-27.5,-1.02
Johann Berg Gudmundsson,Burnley,Midfielder,1,2,0,0,3,0,0,0,0,17,922,-10.5,-1.02
Martin Olsson,Swansea,Defender,2,0,0,0,2,2,0,0,0,17,963,-11.0,-1.03
James McCarthy,Everton,Midfielder,1,1,0,0,0,2,0,0,0,10,613,-7.0,-1.03
Nathaniel Clyne,Liverpool,Defender,0,2,0,0,8,0,0,0,0,39,2880,-33.0,-1.03
Craig Dawson,West Brom,Defender,3,0,0,0,6,9,0,0,0,41,2826,-33.5,-1.07
Ben Woodburn,Liverpool,Midfielder,0,0,0,0,0,0,0,0,0,1,84,-1.0,-1.07
Sofiane Feghouli,West Ham,Midfielder,2,3,0,0,1,1,1,0,0,19,916,-11.0,-1.08
George Boyd,Burnley,Midfielder,2,1,0,0,8,3,0,0,0,40,2550,-30.5,-1.08
Granit Xhaka,Arsenal,Midfielder,1,3,0,0,6,4,2,0,0,28,1923,-23.0,-1.08
Steven Davis,Southampton,Midfielder,0,3,0,0,7,3,0,0,0,30,2086,-25.0,-1.08
